dataset,rank,rank_percentile,frequency,range
diginetica,115,0.2655361967762974,273,popular
diginetica,116,0.2678654616603,273,popular
diginetica,117,0.2701947265443026,272,popular
diginetica,118,0.27252399142830525,270,popular
diginetica,119,0.27485325631230784,269,popular
diginetica,120,0.2771825211963104,268,popular
diginetica,121,0.2795117860803131,268,popular
diginetica,122,0.28184105096431566,267,popular
diginetica,123,0.28417031584831826,266,popular
diginetica,124,0.2864995807323209,266,popular
diginetica,125,0.2888288456163235,266,popular
diginetica,126,0.2911581105003261,265,popular
diginetica,127,0.29348737538432873,265,popular
diginetica,128,0.2958166402683313,264,popular
diginetica,129,0.2981459051523339,263,popular
diginetica,130,0.30047517003633656,262,popular
diginetica,131,0.30280443492033915,261,popular
diginetica,132,0.30513369980434174,258,popular
diginetica,133,0.30746296468834433,255,popular
diginetica,134,0.309792229572347,254,popular
diginetica,135,0.31212149445634957,253,popular
diginetica,136,0.31445075934035216,253,popular
diginetica,137,0.3167800242243548,249,popular
diginetica,138,0.3191092891083574,248,popular
diginetica,139,0.32143855399236,247,popular
diginetica,140,0.32376781887636263,247,popular
diginetica,141,0.3260970837603652,246,popular
diginetica,142,0.3284263486443678,246,popular
diginetica,143,0.33075561352837046,244,popular
diginetica,144,0.33308487841237305,244,popular
diginetica,145,0.33541414329637564,243,popular
diginetica,146,0.3377434081803783,243,popular
diginetica,147,0.3400726730643809,240,popular
diginetica,148,0.3424019379483835,239,popular
diginetica,149,0.3447312028323861,239,popular
diginetica,150,0.3470604677163887,237,popular
diginetica,151,0.3493897326003913,237,popular
diginetica,152,0.35171899748439395,236,popular
diginetica,153,0.35404826236839654,236,popular
diginetica,154,0.35637752725239913,235,popular
diginetica,155,0.3587067921364018,234,popular
diginetica,156,0.36103605702040437,233,popular
diginetica,157,0.36336532190440696,233,popular
diginetica,158,0.3656945867884096,232,popular
diginetica,159,0.3680238516724122,231,popular
diginetica,160,0.3703531165564148,231,popular
diginetica,161,0.37268238144041743,228,popular
diginetica,162,0.37501164632442,228,popular
diginetica,163,0.3773409112084226,227,popular
diginetica,164,0.3796701760924252,227,popular
diginetica,165,0.38199944097642785,227,popular
diginetica,166,0.38432870586043044,226,popular
diginetica,167,0.38665797074443303,226,popular
diginetica,168,0.3889872356284357,226,popular
diginetica,169,0.39131650051243827,225,popular
diginetica,170,0.39364576539644086,225,popular
diginetica,171,0.3959750302804435,225,popular
diginetica,172,0.3983042951644461,225,popular
diginetica,173,0.4006335600484487,223,popular
diginetica,174,0.40296282493245134,223,popular
diginetica,175,0.4052920898164539,222,popular
diginetica,176,0.4076213547004565,222,popular
diginetica,177,0.40995061958445916,222,popular
diginetica,178,0.41227988446846175,221,popular
diginetica,179,0.41460914935246435,221,popular
diginetica,180,0.416938414236467,221,popular
diginetica,181,0.4192676791204696,220,popular
diginetica,182,0.4215969440044722,220,popular
diginetica,183,0.4239262088884748,219,popular
diginetica,184,0.4262554737724774,219,popular
diginetica,185,0.42858473865648,218,popular
diginetica,186,0.43091400354048265,218,popular
diginetica,187,0.43324326842448524,218,popular
diginetica,188,0.43557253330848783,217,popular
diginetica,189,0.4379017981924905,217,popular
diginetica,190,0.44023106307649307,217,popular
diginetica,191,0.44256032796049566,216,popular
diginetica,192,0.44488959284449825,216,popular
diginetica,193,0.4472188577285009,216,popular
diginetica,194,0.4495481226125035,216,popular
diginetica,195,0.4518773874965061,216,popular
diginetica,196,0.4542066523805087,215,popular
diginetica,197,0.4565359172645113,215,popular
diginetica,198,0.4588651821485139,214,popular
diginetica,199,0.46119444703251655,214,popular
diginetica,200,0.46352371191651914,214,popular
diginetica,201,0.46585297680052173,214,popular
diginetica,202,0.4681822416845244,214,popular
diginetica,203,0.47051150656852697,214,popular
diginetica,204,0.47284077145252956,213,popular
diginetica,205,0.4751700363365322,213,popular
diginetica,206,0.4774993012205348,213,popular
diginetica,207,0.4798285661045374,212,popular
diginetica,208,0.48215783098854004,212,popular
diginetica,209,0.48448709587254263,210,popular
diginetica,210,0.4868163607565452,210,popular
diginetica,211,0.48914562564054787,210,popular
diginetica,212,0.49147489052455046,210,popular
diginetica,213,0.49380415540855305,210,popular
diginetica,214,0.4961334202925557,209,popular
diginetica,215,0.4984626851765583,209,popular
diginetica,216,0.5007919500605609,208,popular
diginetica,217,0.5031212149445635,208,popular
diginetica,218,0.5054504798285661,207,popular
diginetica,219,0.5077797447125687,207,popular
diginetica,220,0.5101090095965714,205,popular
diginetica,221,0.5124382744805739,205,popular
diginetica,222,0.5147675393645765,205,popular
diginetica,223,0.5170968042485792,205,popular
diginetica,224,0.5194260691325817,204,popular
diginetica,225,0.5217553340165844,204,popular
diginetica,226,0.524084598900587,203,popular
diginetica,227,0.5264138637845895,203,popular
diginetica,228,0.5287431286685922,203,popular
diginetica,229,0.5310723935525948,203,popular
diginetica,230,0.5334016584365974,202,popular
diginetica,231,0.5357309233206,202,popular
diginetica,232,0.5380601882046027,202,popular
diginetica,233,0.5403894530886052,202,popular
diginetica,234,0.5427187179726078,202,popular
diginetica,235,0.5450479828566105,201,popular
diginetica,236,0.547377247740613,200,popular
diginetica,237,0.5497065126246157,200,popular
diginetica,238,0.5520357775086183,200,popular
diginetica,239,0.5543650423926209,200,popular
diginetica,240,0.5566943072766235,200,popular
diginetica,241,0.5590235721606261,200,popular
diginetica,242,0.5613528370446287,198,popular
diginetica,243,0.5636821019286313,198,popular
diginetica,244,0.566011366812634,198,popular
diginetica,245,0.5683406316966365,198,popular
diginetica,246,0.5706698965806392,198,popular
diginetica,247,0.5729991614646418,198,popular
diginetica,248,0.5753284263486443,197,popular
diginetica,249,0.577657691232647,197,popular
diginetica,250,0.5799869561166496,196,popular
diginetica,251,0.5823162210006522,196,popular
diginetica,252,0.5846454858846548,195,popular
diginetica,253,0.5869747507686575,195,popular
diginetica,254,0.58930401565266,194,popular
diginetica,255,0.5916332805366626,194,popular
diginetica,256,0.5939625454206653,194,popular
diginetica,257,0.5962918103046678,193,popular
diginetica,258,0.5986210751886705,193,popular
diginetica,259,0.6009503400726731,193,popular
diginetica,260,0.6032796049566757,193,popular
diginetica,261,0.6056088698406783,193,popular
diginetica,262,0.607938134724681,193,popular
diginetica,263,0.6102673996086835,193,popular
diginetica,264,0.6125966644926861,192,popular
diginetica,265,0.6149259293766887,192,popular
diginetica,266,0.6172551942606913,191,popular
diginetica,267,0.619584459144694,191,popular
diginetica,268,0.6219137240286965,191,popular
diginetica,269,0.6242429889126991,191,popular
diginetica,270,0.6265722537967018,191,popular
diginetica,271,0.6289015186807043,190,popular
diginetica,272,0.631230783564707,190,popular
diginetica,273,0.6335600484487096,189,popular
diginetica,274,0.6358893133327121,189,popular
diginetica,275,0.6382185782167148,189,popular
diginetica,276,0.6405478431007174,189,popular
diginetica,277,0.64287710798472,188,popular
diginetica,278,0.6452063728687226,188,popular
diginetica,279,0.6475356377527253,188,popular
diginetica,280,0.6498649026367278,188,popular
diginetica,281,0.6521941675207305,187,popular
diginetica,282,0.6545234324047331,187,popular
diginetica,283,0.6568526972887356,187,popular
diginetica,284,0.6591819621727383,187,popular
diginetica,285,0.6615112270567409,187,popular
diginetica,286,0.6638404919407435,186,popular
diginetica,287,0.6661697568247461,186,popular
diginetica,288,0.6684990217087488,185,popular
diginetica,289,0.6708282865927513,185,popular
diginetica,290,0.6731575514767539,185,popular
diginetica,291,0.6754868163607566,185,popular
diginetica,292,0.6778160812447591,185,popular
diginetica,293,0.6801453461287618,185,popular
diginetica,294,0.6824746110127644,184,popular
diginetica,295,0.684803875896767,184,popular
diginetica,296,0.6871331407807696,184,popular
diginetica,297,0.6894624056647722,184,popular
diginetica,298,0.6917916705487748,184,popular
diginetica,299,0.6941209354327774,183,popular
diginetica,300,0.6964502003167801,183,popular
diginetica,301,0.6987794652007826,182,popular
diginetica,302,0.7011087300847852,182,popular
diginetica,303,0.7034379949687879,182,popular
diginetica,304,0.7057672598527904,182,popular
diginetica,305,0.7080965247367931,181,popular
diginetica,306,0.7104257896207957,181,popular
diginetica,307,0.7127550545047983,181,popular
diginetica,308,0.7150843193888009,181,popular
diginetica,309,0.7174135842728036,180,popular
diginetica,310,0.7197428491568061,180,popular
diginetica,311,0.7220721140408087,180,popular
diginetica,312,0.7244013789248114,180,popular
diginetica,313,0.7267306438088139,180,popular
diginetica,314,0.7290599086928166,180,popular
diginetica,315,0.7313891735768192,180,popular
diginetica,316,0.7337184384608217,180,popular
diginetica,317,0.7360477033448244,179,popular
diginetica,318,0.738376968228827,179,popular
diginetica,319,0.7407062331128296,179,popular
diginetica,320,0.7430354979968322,179,popular
diginetica,321,0.7453647628808349,179,popular
diginetica,322,0.7476940277648374,179,popular
diginetica,323,0.75002329264884,178,popular
diginetica,324,0.7523525575328426,178,popular
diginetica,325,0.7546818224168452,178,popular
diginetica,326,0.7570110873008479,178,popular
diginetica,327,0.7593403521848504,178,popular
diginetica,328,0.761669617068853,178,popular
diginetica,329,0.7639988819528557,178,popular
diginetica,330,0.7663281468368582,177,popular
diginetica,331,0.7686574117208609,177,popular
diginetica,332,0.7709866766048635,177,popular
diginetica,333,0.7733159414888661,177,popular
diginetica,334,0.7756452063728687,177,popular
diginetica,335,0.7779744712568714,177,popular
diginetica,336,0.7803037361408739,177,popular
diginetica,337,0.7826330010248765,177,popular
diginetica,338,0.7849622659088792,177,popular
diginetica,339,0.7872915307928817,177,popular
diginetica,340,0.7896207956768844,176,popular
diginetica,341,0.791950060560887,175,popular
diginetica,342,0.7942793254448896,175,popular
diginetica,343,0.7966085903288922,175,popular
diginetica,344,0.7989378552128948,174,popular
diginetica,345,0.8012671200968974,174,popular
diginetica,346,0.8035963849809,174,popular
diginetica,347,0.8059256498649027,174,popular
diginetica,348,0.8082549147489052,174,popular
diginetica,349,0.8105841796329079,174,popular
diginetica,350,0.8129134445169105,174,popular
diginetica,351,0.815242709400913,174,popular
diginetica,352,0.8175719742849157,172,popular
diginetica,353,0.8199012391689183,172,popular
diginetica,354,0.8222305040529209,172,popular
diginetica,355,0.8245597689369235,172,popular
diginetica,356,0.8268890338209262,172,popular
diginetica,357,0.8292182987049287,172,popular
diginetica,358,0.8315475635889313,171,popular
diginetica,359,0.833876828472934,171,popular
diginetica,360,0.8362060933569365,171,popular
diginetica,361,0.8385353582409392,171,popular
diginetica,362,0.8408646231249418,171,popular
diginetica,363,0.8431938880089443,170,popular
diginetica,364,0.845523152892947,170,popular
diginetica,365,0.8478524177769496,170,popular
diginetica,366,0.8501816826609522,170,popular
diginetica,367,0.8525109475449548,170,popular
diginetica,368,0.8548402124289575,170,popular
diginetica,369,0.85716947731296,169,popular
diginetica,370,0.8594987421969627,168,popular
diginetica,371,0.8618280070809653,167,popular
diginetica,372,0.8641572719649678,167,popular
diginetica,373,0.8664865368489705,167,popular
diginetica,374,0.8688158017329731,167,popular
diginetica,375,0.8711450666169757,167,popular
diginetica,376,0.8734743315009783,167,popular
diginetica,377,0.875803596384981,166,popular
diginetica,378,0.8781328612689835,166,popular
diginetica,379,0.8804621261529861,165,popular
diginetica,380,0.8827913910369888,165,popular
diginetica,381,0.8851206559209913,165,popular
diginetica,382,0.887449920804994,165,popular
diginetica,383,0.8897791856889965,165,popular
diginetica,384,0.8921084505729991,164,popular
diginetica,385,0.8944377154570018,164,popular
diginetica,386,0.8967669803410043,164,popular
diginetica,387,0.899096245225007,164,popular
diginetica,388,0.9014255101090096,164,popular
diginetica,389,0.9037547749930122,163,popular
diginetica,390,0.9060840398770148,163,popular
diginetica,391,0.9084133047610174,163,popular
diginetica,392,0.91074256964502,163,popular
diginetica,393,0.9130718345290226,163,popular
diginetica,394,0.9154010994130253,163,popular
diginetica,395,0.9177303642970278,163,popular
diginetica,396,0.9200596291810305,163,popular
diginetica,397,0.9223888940650331,163,popular
diginetica,398,0.9247181589490356,162,popular
diginetica,399,0.9270474238330383,162,popular
diginetica,400,0.9293766887170409,162,popular
diginetica,401,0.9317059536010435,161,popular
diginetica,402,0.9340352184850461,161,popular
diginetica,403,0.9363644833690488,161,popular
diginetica,404,0.9386937482530513,161,popular
diginetica,405,0.9410230131370539,161,popular
diginetica,406,0.9433522780210566,161,popular
diginetica,407,0.9456815429050591,160,popular
diginetica,408,0.9480108077890618,160,popular
diginetica,409,0.9503400726730644,160,popular
diginetica,410,0.952669337557067,160,popular
diginetica,411,0.9549986024410696,160,popular
diginetica,412,0.9573278673250722,160,popular
diginetica,413,0.9596571322090748,160,popular
diginetica,414,0.9619863970930774,160,popular
diginetica,415,0.9643156619770801,159,popular
diginetica,416,0.9666449268610826,159,popular
diginetica,417,0.9689741917450853,159,popular
diginetica,418,0.9713034566290879,159,popular
diginetica,419,0.9736327215130904,159,popular
diginetica,420,0.9759619863970931,159,popular
diginetica,421,0.9782912512810957,159,popular
diginetica,422,0.9806205161650983,158,popular
diginetica,423,0.9829497810491009,158,popular
diginetica,424,0.9852790459331036,157,popular
diginetica,425,0.9876083108171061,157,popular
diginetica,426,0.9899375757011087,157,popular
diginetica,427,0.9922668405851114,157,popular
diginetica,428,0.9945961054691139,157,popular
diginetica,429,0.9969253703531166,157,popular
diginetica,430,0.9992546352371192,157,popular
diginetica,431,1.0015839001211218,157,popular
diginetica,432,1.0039131650051243,156,popular
diginetica,433,1.006242429889127,156,popular
diginetica,434,1.0085716947731296,156,popular
diginetica,435,1.0109009596571321,156,popular
diginetica,436,1.0132302245411349,156,popular
diginetica,437,1.0155594894251374,155,popular
diginetica,438,1.01788875430914,155,popular
diginetica,439,1.0202180191931427,155,popular
diginetica,440,1.0225472840771452,155,popular
diginetica,441,1.0248765489611478,155,popular
diginetica,442,1.0272058138451505,155,popular
diginetica,443,1.029535078729153,155,popular
diginetica,444,1.0318643436131556,154,popular
diginetica,445,1.0341936084971584,154,popular
diginetica,446,1.036522873381161,154,popular
diginetica,447,1.0388521382651634,154,popular
diginetica,448,1.0411814031491662,154,popular
diginetica,449,1.0435106680331687,154,popular
diginetica,450,1.0458399329171713,154,popular
diginetica,451,1.048169197801174,154,popular
diginetica,452,1.0504984626851765,153,popular
diginetica,453,1.052827727569179,153,popular
diginetica,454,1.0551569924531818,153,popular
diginetica,455,1.0574862573371844,153,popular
diginetica,456,1.059815522221187,153,popular
diginetica,457,1.0621447871051897,153,popular
diginetica,458,1.0644740519891922,153,popular
diginetica,459,1.0668033168731947,153,popular
diginetica,460,1.0691325817571975,152,popular
diginetica,461,1.0714618466412,152,popular
diginetica,462,1.0737911115252026,152,popular
diginetica,463,1.0761203764092053,152,popular
diginetica,464,1.0784496412932079,152,popular
diginetica,465,1.0807789061772104,152,popular
diginetica,466,1.0831081710612132,152,popular
diginetica,467,1.0854374359452157,152,popular
diginetica,468,1.0877667008292182,151,popular
diginetica,469,1.090095965713221,151,popular
diginetica,470,1.0924252305972235,151,popular
diginetica,471,1.094754495481226,151,popular
diginetica,472,1.0970837603652288,151,popular
diginetica,473,1.0994130252492313,151,popular
diginetica,474,1.1017422901332339,150,popular
diginetica,475,1.1040715550172366,150,popular
diginetica,476,1.1064008199012392,149,popular
diginetica,477,1.1087300847852417,149,popular
diginetica,478,1.1110593496692445,149,popular
diginetica,479,1.113388614553247,148,popular
diginetica,480,1.1157178794372495,148,popular
diginetica,481,1.1180471443212523,148,popular
diginetica,482,1.1203764092052548,148,popular
diginetica,483,1.1227056740892574,148,popular
diginetica,484,1.1250349389732601,148,popular
diginetica,485,1.1273642038572627,148,popular
diginetica,486,1.1296934687412652,147,popular
diginetica,487,1.132022733625268,147,popular
diginetica,488,1.1343519985092705,147,popular
diginetica,489,1.136681263393273,147,popular
diginetica,490,1.1390105282772758,147,popular
diginetica,491,1.1413397931612783,146,popular
diginetica,492,1.1436690580452809,146,popular
diginetica,493,1.1459983229292836,146,popular
diginetica,494,1.1483275878132861,146,popular
diginetica,495,1.1506568526972887,146,popular
diginetica,496,1.1529861175812914,146,popular
diginetica,497,1.155315382465294,145,popular
diginetica,498,1.1576446473492965,145,popular
diginetica,499,1.1599739122332993,145,popular
diginetica,500,1.1623031771173018,145,popular
diginetica,501,1.1646324420013043,145,popular
diginetica,502,1.166961706885307,144,popular
diginetica,503,1.1692909717693096,144,popular
diginetica,504,1.1716202366533122,144,popular
diginetica,505,1.173949501537315,144,popular
diginetica,506,1.1762787664213175,144,popular
diginetica,507,1.17860803130532,144,popular
diginetica,508,1.1809372961893227,144,popular
diginetica,509,1.1832665610733253,144,popular
diginetica,510,1.1855958259573278,143,popular
diginetica,511,1.1879250908413306,143,popular
diginetica,512,1.1902543557253331,142,popular
diginetica,513,1.1925836206093356,142,popular
diginetica,514,1.1949128854933384,142,popular
diginetica,515,1.197242150377341,142,popular
diginetica,516,1.1995714152613435,142,popular
diginetica,517,1.2019006801453462,142,popular
diginetica,518,1.2042299450293488,141,popular
diginetica,519,1.2065592099133513,141,popular
diginetica,520,1.208888474797354,141,popular
diginetica,521,1.2112177396813566,141,popular
diginetica,522,1.2135470045653591,141,popular
diginetica,523,1.215876269449362,141,popular
diginetica,524,1.2182055343333644,140,popular
diginetica,525,1.220534799217367,140,popular
diginetica,526,1.2228640641013695,140,popular
diginetica,527,1.2251933289853723,140,popular
diginetica,528,1.2275225938693748,140,popular
diginetica,529,1.2298518587533773,140,popular
diginetica,530,1.23218112363738,140,popular
diginetica,531,1.2345103885213826,140,popular
diginetica,532,1.2368396534053852,140,popular
diginetica,533,1.239168918289388,139,popular
diginetica,534,1.2414981831733904,139,popular
diginetica,535,1.243827448057393,139,popular
diginetica,536,1.2461567129413957,139,popular
diginetica,537,1.2484859778253983,139,popular
diginetica,538,1.2508152427094008,139,popular
diginetica,539,1.2531445075934036,138,popular
diginetica,540,1.255473772477406,138,popular
diginetica,541,1.2578030373614086,138,popular
diginetica,542,1.2601323022454114,138,popular
diginetica,543,1.262461567129414,138,popular
diginetica,544,1.2647908320134165,138,popular
diginetica,545,1.2671200968974192,138,popular
diginetica,546,1.2694493617814218,138,popular
diginetica,547,1.2717786266654243,138,popular
diginetica,548,1.274107891549427,138,popular
diginetica,549,1.2764371564334296,138,popular
diginetica,550,1.2787664213174321,137,popular
diginetica,551,1.2810956862014349,137,popular
diginetica,552,1.2834249510854374,137,popular
diginetica,553,1.28575421596944,137,popular
diginetica,554,1.2880834808534427,137,popular
diginetica,555,1.2904127457374452,137,popular
diginetica,556,1.2927420106214478,137,popular
diginetica,557,1.2950712755054505,137,popular
diginetica,558,1.297400540389453,137,popular
diginetica,559,1.2997298052734556,137,popular
diginetica,560,1.3020590701574584,137,popular
diginetica,561,1.304388335041461,137,popular
diginetica,562,1.3067175999254634,137,popular
diginetica,563,1.3090468648094662,137,popular
diginetica,564,1.3113761296934687,136,popular
diginetica,565,1.3137053945774713,136,popular
diginetica,566,1.316034659461474,136,popular
diginetica,567,1.3183639243454766,136,popular
diginetica,568,1.320693189229479,136,popular
diginetica,569,1.3230224541134818,136,popular
diginetica,570,1.3253517189974844,135,popular
diginetica,571,1.327680983881487,135,popular
diginetica,572,1.3300102487654897,135,popular
diginetica,573,1.3323395136494922,135,popular
diginetica,574,1.3346687785334947,135,popular
diginetica,575,1.3369980434174975,135,popular
diginetica,576,1.3393273083015,135,popular
diginetica,577,1.3416565731855026,135,popular
diginetica,578,1.3439858380695053,134,popular
diginetica,579,1.3463151029535079,134,popular
diginetica,580,1.3486443678375104,134,popular
diginetica,581,1.3509736327215132,134,popular
diginetica,582,1.3533028976055157,134,popular
diginetica,583,1.3556321624895182,134,popular
diginetica,584,1.357961427373521,134,popular
diginetica,585,1.3602906922575235,134,popular
diginetica,586,1.362619957141526,133,popular
diginetica,587,1.3649492220255288,133,popular
diginetica,588,1.3672784869095314,133,popular
diginetica,589,1.369607751793534,133,popular
diginetica,590,1.3719370166775366,133,popular
diginetica,591,1.3742662815615392,132,popular
diginetica,592,1.3765955464455417,132,popular
diginetica,593,1.3789248113295445,132,popular
diginetica,594,1.381254076213547,132,popular
diginetica,595,1.3835833410975495,132,popular
diginetica,596,1.3859126059815523,132,popular
diginetica,597,1.3882418708655548,132,popular
diginetica,598,1.3905711357495574,131,popular
diginetica,599,1.3929004006335601,131,popular
diginetica,600,1.3952296655175627,131,popular
diginetica,601,1.3975589304015652,131,popular
diginetica,602,1.399888195285568,131,popular
diginetica,603,1.4022174601695705,131,popular
diginetica,604,1.404546725053573,130,popular
diginetica,605,1.4068759899375758,130,popular
diginetica,606,1.4092052548215783,130,popular
diginetica,607,1.4115345197055809,130,popular
diginetica,608,1.4138637845895836,130,popular
diginetica,609,1.4161930494735862,130,popular
diginetica,610,1.4185223143575887,130,popular
diginetica,611,1.4208515792415914,130,popular
diginetica,612,1.423180844125594,130,popular
diginetica,613,1.4255101090095965,130,popular
diginetica,614,1.4278393738935993,130,popular
diginetica,615,1.4301686387776018,130,popular
diginetica,616,1.4324979036616043,130,popular
diginetica,617,1.434827168545607,129,popular
diginetica,618,1.4371564334296096,129,popular
diginetica,619,1.4394856983136122,129,popular
diginetica,620,1.441814963197615,129,popular
diginetica,621,1.4441442280816175,129,popular
diginetica,622,1.44647349296562,128,popular
diginetica,623,1.4488027578496228,128,popular
diginetica,624,1.4511320227336253,128,popular
diginetica,625,1.4534612876176278,128,popular
diginetica,626,1.4557905525016306,128,popular
diginetica,627,1.4581198173856331,128,popular
diginetica,628,1.4604490822696357,128,popular
diginetica,629,1.4627783471536384,128,popular
diginetica,630,1.465107612037641,128,popular
diginetica,631,1.4674368769216435,128,popular
diginetica,632,1.4697661418056462,128,popular
diginetica,633,1.4720954066896488,128,popular
diginetica,634,1.4744246715736513,128,popular
diginetica,635,1.476753936457654,128,popular
diginetica,636,1.4790832013416566,127,popular
diginetica,637,1.4814124662256591,127,popular
diginetica,638,1.483741731109662,127,popular
diginetica,639,1.4860709959936644,127,popular
diginetica,640,1.488400260877667,127,popular
diginetica,641,1.4907295257616697,127,popular
diginetica,642,1.4930587906456723,127,popular
diginetica,643,1.4953880555296748,127,popular
diginetica,644,1.4977173204136773,126,popular
diginetica,645,1.50004658529768,126,popular
diginetica,646,1.5023758501816826,126,popular
diginetica,647,1.5047051150656852,126,popular
diginetica,648,1.507034379949688,126,popular
diginetica,649,1.5093636448336905,126,popular
diginetica,650,1.511692909717693,126,popular
diginetica,651,1.5140221746016957,126,popular
diginetica,652,1.5163514394856983,126,popular
diginetica,653,1.5186807043697008,126,popular
diginetica,654,1.5210099692537036,126,popular
diginetica,655,1.523339234137706,126,popular
diginetica,656,1.5256684990217086,126,popular
diginetica,657,1.5279977639057114,125,popular
diginetica,658,1.530327028789714,125,popular
diginetica,659,1.5326562936737165,125,popular
diginetica,660,1.5349855585577192,125,popular
diginetica,661,1.5373148234417218,125,popular
diginetica,662,1.5396440883257243,124,popular
diginetica,663,1.541973353209727,124,popular
diginetica,664,1.5443026180937296,124,popular
diginetica,665,1.5466318829777321,124,popular
diginetica,666,1.5489611478617349,124,popular
diginetica,667,1.5512904127457374,124,popular
diginetica,668,1.55361967762974,124,popular
diginetica,669,1.5559489425137427,124,popular
